['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['-0.0001886929164798848', '0.0001385417890045158', '-5.035871396626518e-05', '-5.023714050810325e-05', '0.0001384939293480555', '-0.000188651620355478', '0.0001886898531794785', '-0.0001384683350082523', '5.034488641798507e-05', '5.027990475168003e-05', '-0.0001386069276242083', '0.0001886541804253667']
['-0.0001753734949866139', '0.0001148189041173112', '-1.479654468427716e-05', '-8.600306374041885e-05', '0.0001584422106478209', '-0.0001957544102065719', '0.0001753628113469783', '-0.0001148327652325427', '1.480806614194643e-05', '8.599920954915163e-05', '-0.0001584435839380265', '0.000195755784395594']
['-0.0001584948974728332', '8.608045966082929e-05', '1.492536912106442e-05', '-0.0001146126982930339', '0.0001752046140888287', '-0.0001957467336726496', '0.0001584760855746719', '-8.604347355984756e-05', '-1.488374437468297e-05', '0.0001146615623349069', '-0.0001753057238308776', '0.000195762517499151']
['-0.0001385562435947232', '5.023198675127452e-05', '5.019093789827304e-05', '-0.0001384941899036645', '0.0001886441903838465', '-0.0001886358474788061', '0.0001385272881798457', '-5.018086799980272e-05', '-5.018931530647297e-05', '0.0001385700414961072', '-0.0001887730681076233', '0.000188663925618956']
['-0.0001147897961400206', '1.48956535018417e-05', '8.59931539716881e-05', '-0.0001584184866050872', '0.0001957737380114129', '-0.0001752970409528705', '0.000114712484662083', '-1.486447752939947e-05', '-8.600146201303066e-05', '0.0001585016025989911', '-0.0001959043967966165', '0.0001753721911579633']
['-8.599169366617968e-05', '-1.486750626938968e-05', '0.0001145920983030495', '-0.0001753273821445362', '0.0001957729194961738', '-0.0001584674961723165', '8.610040013858891e-05', '1.491512567322658e-05', '-0.0001146557003501045', '0.0001753372127884446', '-0.0001958992727478161', '0.0001585174198582189']
['-5.029734721799071e-05', '-5.033369398112463e-05', '0.0001384819265578581', '-0.0001886613428309843', '0.0001886777621189522', '-0.0001384268946267666', '5.02630211410947e-05', '5.035617129232686e-05', '-0.0001385589363595746', '0.000188705970308375', '-0.0001887099021841929', '0.0001384609834287636']
['-1.478048703475664e-05', '-8.595606642649907e-05', '0.0001584565496036324', '-0.0001957700080482008', '0.0001753135340497502', '-0.0001148440375749758', '1.485823086183451e-05', '8.59863816207753e-05', '-0.000158498994817103', '0.0001957964072752193', '-0.0001753934284196106', '0.0001148471265556548']
['1.488659273797383e-05', '-0.0001147275478841967', '0.0001752331493376967', '-0.0001957642179516535', '0.0001584683921073158', '-8.602471670960254e-05', '-1.486263086364702e-05', '0.0001146164042805928', '-0.0001752082870217028', '0.000195775979969135', '-0.0001584096405539796', '8.602042687366611e-05']
['5.025740421690115e-05', '-0.0001384053356118981', '0.0001886563817829583', '-0.0001886754380721476', '0.0001384836388070973', '-5.03671987702258e-05', '-5.018171322233681e-05', '0.0001384869867821701', '-0.0001886423634420808', '0.000188695140823686', '-0.0001386070311336957', '5.029411610530674e-05']
